"
product_unit_id",product_id,product_name,confirm_status,is_active,item_code,product_upc,product_industry_code,product_industry_name,product_group_code,product_group_name,pm,is_hot,is_po,vat_output,vat_output_name,vat_output_rate,vat_input,vat_input_name,vat_input_rate,supplier_code,supplier_name,brand_name,unit_code_level1,unit_name_level1,ratio_level1,unit_code_level2,unit_name_level2,ratio_level2,unit_code_level3,unit_name_level3,ratio_level3,smallest_unit_name,smallest_unit_code,created_date,updated_date,etl_date,product_industry_code_pos,product_group_code_pos,is_inventory_item,is_combo,is_dose,is_reasonname_shop,is_chronic_disease,productCategory_hcm_class,productCategory_hni_class,productCategory_nwc_class
40646,40606,BCG-TCDV,Approved,TRUE,45659,8.65916E+11,34,VACCINE,3885,LAO,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,699,1,N,N,Ng?ng ??t hàng,N,None,None,None
40663,40624,V?c xin th??ng hàn vi Polysaccharide (L? 0.5ml),Approved,TRUE,45676,1.14081E+11,34,VACCINE,3890,TH??NG HÀN,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,704,1,N,N,Ng?ng ??t hàng,N,None,None,None
40637,40598,Imovax Polio (L? 1 li?u)- TCDV,Approved,TRUE,45650,8.35846E+11,34,VACCINE,3877,B?CH H?U – HO GÀ – U?N VÁN – B?I LI?T,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,693,1,N,N,Ng?ng ??t hàng,N,None,None,None
40659,40620,V?c xin th??ng hàn vi Polysaccharide (L? 10ml),Approved,TRUE,45672,44677631220,34,VACCINE,3890,TH??NG HÀN,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,704,1,N,N,Ng?ng ??t hàng,N,None,None,None
33175,33112,BOOSTRIX 0.5ML 1DOSE,Approved,TRUE,38220,1.16674E+11,34,VACCINE,3920,"B?CH H?U, HO GÀ, U?N VÁN",44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Gsk,1,H?p,1,NaN,None,NaN,15,?ng,1,?ng,15,5/23/2023,9/25/2025,3/9/2026,34,3920,1,N,Y,Unspecified,N,None,None,None
40640,40601,Fluarix 0.25ml,Approved,TRUE,45653,4.08386E+11,34,VACCINE,3881,CÚM,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,697,1,N,N,Ng?ng ??t hàng,N,None,None,None
38954,38843,TETRACOQ,Approved,TRUE,43976,9.31145E+11,34,VACCINE,3915,4 TRONG 1,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,3/12/2024,5/27/2025,3/9/2026,34,3915,1,N,N,Ng?ng ??t hàng,N,None,None,None
38481,38346,PNEUMO 23,Approved,TRUE,43503,74906799456,34,VACCINE,3880,CÁC B?NH DO PH? C?U,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,471,H? KINH DOANH - NHÀ THU?C HCM,Sanofi,1,H?p,1,NaN,None,NaN,15,?ng,1,?ng,15,2/21/2024,5/27/2025,3/9/2026,34,696,1,N,Y,Ng?ng ??t hàng,N,None,None,None
33219,33154,HAVAX 0.5ML,Approved,TRUE,38264,91456897601,34,VACCINE,3895,VIÊM GAN A,44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,1915,CÔNG TY C? PH?N Y T? ??C MINH,Vabiotech,1,H?p,10,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,1/19/2026,3/9/2026,34,709,1,N,Y,Unspecified,N,None,None,None
33232,33130,ROTATEQ 2ML,Approved,TRUE,38277,88564246162,34,VACCINE,3886,ROTA VIRUS,44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Merck Sharp & Dohme,1,H?p,10,NaN,None,NaN,15,?ng,1,?ng,15,5/23/2023,1/16/2026,3/9/2026,34,700,1,N,Y,Unspecified,N,None,None,None
40660,40621,Zerotyph cap,Approved,TRUE,45673,4.95192E+11,34,VACCINE,3890,TH??NG HÀN,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,704,1,N,N,Ng?ng ??t hàng,N,None,None,None
38964,38853,QUIVAXEM,Approved,TRUE,43986,7.60668E+11,34,VACCINE,3875,5 TRONG 1,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,3/12/2024,5/27/2025,3/9/2026,34,691,1,N,N,Ng?ng ??t hàng,N,None,None,None
37192,37002,GÓI COMBO 12 THÁNG,Approved,TRUE,42222,4.0616E+11,34,VACCINE,3875,5 TRONG 1,None,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),None,14,Gói,1,NaN,None,NaN,NaN,None,NaN,Gói,14,12/2/2023,11/10/2025,3/9/2026,34,691,0,Y,N,Unspecified,N,None,None,None
40658,40619,V?c xin th??ng hàn vi Polysaccharide (L? 2.5ml),Approved,TRUE,45671,4.63555E+11,34,VACCINE,3890,TH??NG HÀN,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,704,1,N,N,Ng?ng ??t hàng,N,None,None,None
40671,40632,Viêm gan B,Approved,TRUE,45684,9.80633E+11,34,VACCINE,3896,VIÊM GAN B,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,710,1,N,N,Ng?ng ??t hàng,N,None,None,None
33194,33131,VARIVAX,Approved,TRUE,38239,57179056254,34,VACCINE,3891,TH?Y ??U,44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Merck Sharp & Dohme,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,1/19/2026,3/9/2026,34,705,1,N,Y,Unspecified,N,None,None,None
40670,40631,Epaxal,Approved,TRUE,45683,4.69028E+11,34,VACCINE,3895,VIÊM GAN A,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,709,1,N,N,Ng?ng ??t hàng,N,None,None,None
41446,41440,SAR 1000IU,Approved,TRUE,46457,6.39553E+11,34,VACCINE,3925,HUY?T THANH KHÁNG D?I,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,6/22/2024,12/24/2024,3/9/2026,34,None,1,N,N,Ng?ng ??t hàng,N,None,None,None
42581,42588,V?C XIN KHÁC,Approved,TRUE,47587,7.26376E+11,34,VACCINE,3940,B?NH KHÁC,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,100,KHÁCH VÃNG LAI-BÁN L?,Nhãn khác,1,H?p,1,NaN,None,NaN,NaN,None,NaN,H?p,1,10/26/2024,3/26/2025,3/9/2026,34,None,0,N,N,Khách ??t m?i l?y,N,None,None,None
38967,38857,IPV,Approved,TRUE,43989,7.59015E+11,34,VACCINE,3877,B?CH H?U – HO GÀ – U?N VÁN – B?I LI?T,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,3/12/2024,5/26/2025,3/9/2026,34,693,1,N,N,Ng?ng ??t hàng,N,None,None,None
37190,37000,GÓI NG??I CÓ B?NH MÃN TÍNH,Approved,TRUE,42220,8.76673E+11,34,VACCINE,3875,5 TRONG 1,None,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),None,14,Gói,1,NaN,None,NaN,NaN,None,NaN,Gói,14,12/2/2023,11/10/2025,3/9/2026,34,691,0,Y,N,Unspecified,N,None,None,None
40830,40793,PNEUMOVAX 23,Approved,TRUE,45843,6.97955E+11,34,VACCINE,3908,B?NH DO PH? C?U,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Merck Sharp & Dohme,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/29/2024,12/11/2025,3/9/2026,34,3908,1,N,N,Date c?n,N,None,None,None
40702,40663,ImmunoHbs - 180 IU/ml,Approved,TRUE,45715,9.99889E+11,34,VACCINE,3926,HUY?T THANH KHÁNG VIÊM GAN B,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,None,1,N,N,Ng?ng ??t hàng,N,None,None,None
40668,40629,VAT (L? 20 li?u),Approved,TRUE,45681,2.35464E+11,34,VACCINE,3905,U?N VÁN H?P PH? (TT),44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,None,1,N,N,Ng?ng ??t hàng,N,None,None,None
33190,33127,GARDASIL 4 0.5ML,Approved,TRUE,38235,80012485933,34,VACCINE,3923,UNG TH? DO HPV 4 CH?NG,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Merck Sharp & Dohme,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,9/25/2025,3/9/2026,34,3923,1,N,Y,Date c?n,N,None,None,None
40681,40642,HBVaxPRO,Approved,TRUE,45694,1.18466E+11,34,VACCINE,3896,VIÊM GAN B,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,710,1,N,N,Ng?ng ??t hàng,N,None,None,None
33200,33137,HEXAXIM,Approved,TRUE,38245,13101816575,34,VACCINE,3876,6 TRONG 1,44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,25,CÔNG TY TNHH D??C PH?M VÀ TRANG THI?T B? Y T? HOÀNG ??C,Sanofi,1,H?p,1,NaN,None,NaN,15,?ng,1,?ng,15,5/23/2023,7/31/2025,3/9/2026,34,692,1,N,Y,Unspecified,N,None,None,None
38479,38341,INFLUVAC,Approved,TRUE,43501,47715728207,34,VACCINE,3881,CÚM,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,471,H? KINH DOANH - NHÀ THU?C HCM,Abbott,1,H?p,1,NaN,None,NaN,15,?ng,1,?ng,15,2/21/2024,5/27/2025,3/9/2026,34,697,1,N,Y,Ng?ng ??t hàng,N,None,None,None
37191,37001,GÓI COMBO 6 THÁNG,Approved,TRUE,42221,8.10599E+11,34,VACCINE,3875,5 TRONG 1,None,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),None,14,Gói,1,NaN,None,NaN,NaN,None,NaN,Gói,14,12/2/2023,11/10/2025,3/9/2026,34,691,0,Y,N,Unspecified,N,None,None,None
40688,40649,R.S.Jev,Approved,TRUE,45701,9.68907E+11,34,VACCINE,3901,VIÊM NÃO NH?T B?N,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,715,1,N,N,Ng?ng ??t hàng,N,None,None,None
41543,33166,MMR,Approved,TRUE,46554,74657708086,34,VACCINE,3907,"S?I, QUAI B?, RUBELLA",44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,1872,CÔNG TY C? PH?N V?C XIN VÀ SINH PH?M NAM H?NG VI?T,?n ??,1,H?p,50,NaN,None,NaN,7,L?,1,L?,7,6/26/2024,9/26/2025,3/9/2026,34,3907,1,N,Y,H?t hàng,N,None,None,None
40689,40650,RS JEV,Approved,TRUE,45702,4.27734E+11,34,VACCINE,3901,VIÊM NÃO NH?T B?N,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,715,1,N,N,Ng?ng ??t hàng,N,None,None,None
40678,40639,SCI-B-VAC 5mg/0.5ml,Approved,TRUE,45691,9.00669E+11,34,VACCINE,3896,VIÊM GAN B,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,710,1,N,N,Ng?ng ??t hàng,N,None,None,None
40638,40599,ACT-HIB,Approved,TRUE,45651,4.77245E+11,34,VACCINE,3910,B?NH DO HIB,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,3910,1,N,N,Ng?ng ??t hàng,N,None,None,None
40699,40660,FAVIRAB,Approved,TRUE,45712,4.92189E+11,34,VACCINE,3925,HUY?T THANH KHÁNG D?I,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,None,1,N,N,Ng?ng ??t hàng,N,None,None,None
44344,44669,NIMENRIX,Approved,TRUE,49350,1.28811E+11,34,VACCINE,3913,NÃO MÔ C?U ACYW,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Pfizer,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,7/22/2025,1/16/2026,3/9/2026,34,3913,1,N,N,H?t hàng,N,None,None,None
41448,41442,SAT 1500IU,Approved,TRUE,46459,14291324599,34,VACCINE,3918,HUY?T THANH U?N VÁN,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,6/22/2024,12/24/2024,3/9/2026,34,None,1,N,N,Ng?ng ??t hàng,N,None,None,None
33174,33111,VARICELLA-GCC 0.7 ML,Approved,TRUE,38219,9.75928E+11,34,VACCINE,3891,TH?Y ??U,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,1872,CÔNG TY C? PH?N V?C XIN VÀ SINH PH?M NAM H?NG VI?T,GC Pharma,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,8/2/2025,3/9/2026,34,705,1,N,Y,B? m?u/Ng?ng KD,N,None,None,None
33227,33162,U?N VÁN B?CH H?U H?P PH? (Td) 1 LI?U,Approved,TRUE,38272,55130687958,34,VACCINE,3916,"B?CH H?U, U?N VÁN",44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,1915,CÔNG TY C? PH?N Y T? ??C MINH,IVAC,1,H?p,20,NaN,None,NaN,15,?ng,1,?ng,15,5/23/2023,1/19/2026,3/9/2026,34,3916,1,N,Y,Unspecified,N,None,None,None
37188,36998,GÓI PH? N? TR??C KHI MANG THAI,Approved,TRUE,42218,7.77263E+11,34,VACCINE,3875,5 TRONG 1,None,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),None,14,Gói,1,NaN,None,NaN,NaN,None,NaN,Gói,14,12/2/2023,11/10/2025,3/9/2026,34,691,0,Y,N,Unspecified,N,None,None,None
40669,40630,Avaxim 160U,Approved,TRUE,45682,7.29251E+11,34,VACCINE,3895,VIÊM GAN A,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,709,1,N,N,Ng?ng ??t hàng,N,None,None,None
33192,33129,MMR II,Approved,TRUE,38237,85689166131,34,VACCINE,3907,"S?I, QUAI B?, RUBELLA",44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Merck Sharp & Dohme,1,H?p,10,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,1/27/2026,3/9/2026,34,3907,1,N,Y,Unspecified,N,None,None,None
40639,40600,Fluarix 0.5ml,Approved,TRUE,45652,9651928860,34,VACCINE,3881,CÚM,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/26/2025,3/9/2026,34,697,1,N,N,Ng?ng ??t hàng,N,None,None,None
38485,38350,OKAVAX,Approved,TRUE,43507,2.08845E+11,34,VACCINE,3891,TH?Y ??U,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,471,H? KINH DOANH - NHÀ THU?C HCM,Sanofi,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,2/21/2024,5/26/2025,3/9/2026,34,705,1,N,Y,Ng?ng ??t hàng,N,None,None,None
41449,41443,HT U?n Ván 1500 IU,Approved,TRUE,46460,7.40693E+11,34,VACCINE,3918,HUY?T THANH U?N VÁN,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,6/22/2024,12/24/2024,3/9/2026,34,None,1,N,N,Ng?ng ??t hàng,N,None,None,None
33215,33150,ROTAVIN,Approved,TRUE,38260,86378217200,34,VACCINE,3886,ROTA VIRUS,44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,1915,CÔNG TY C? PH?N Y T? ??C MINH,Polyvac,1,H?p,10,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,9/26/2025,3/9/2026,34,700,1,N,Y,Unspecified,N,None,None,None
33217,33152,JEVAX,Approved,TRUE,38262,53971737406,34,VACCINE,3901,VIÊM NÃO NH?T B?N,44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,1872,CÔNG TY C? PH?N V?C XIN VÀ SINH PH?M NAM H?NG VI?T,Vabiotech,1,H?p,10,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,9/25/2025,3/9/2026,34,715,1,N,Y,Hàng khan hi?m,N,None,None,None
33180,33117,PRIORIX 0.5ML VIAL 1'S,Approved,TRUE,38225,8.55053E+11,34,VACCINE,3907,"S?I, QUAI B?, RUBELLA",44577-Lê Thái Quyên,TRUE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,7,CÔNG TY TNHH TH??NG M?I VÀ D??C PH?M SANG (SANG PHARMA),Gsk,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2023,9/30/2025,3/9/2026,34,3907,1,N,Y,Unspecified,N,None,None,None
38461,33145,VAXIGRIP 0.25ML,Approved,TRUE,43483,53249466953,34,VACCINE,3881,CÚM,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,471,H? KINH DOANH - NHÀ THU?C HCM,Sanofi,1,H?p,1,NaN,None,NaN,15,?ng,1,?ng,15,2/20/2024,5/27/2025,3/9/2026,34,697,1,N,Y,Ng?ng ??t hàng,N,None,None,None
40654,40615,Tresivac,Approved,TRUE,45667,7.98147E+11,34,VACCINE,3888,S?I – QUAI B? – RUBELLA,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,5/23/2024,5/27/2025,3/9/2026,34,702,1,N,N,Ng?ng ??t hàng,N,None,None,None
38968,38858,COMBE FIVE,Approved,TRUE,43990,3.46306E+11,34,VACCINE,3875,5 TRONG 1,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,3/12/2024,5/27/2025,3/9/2026,34,691,1,N,N,Ng?ng ??t hàng,N,None,None,None
38961,38851,VIVOTIF,Approved,TRUE,43983,8.51928E+11,34,VACCINE,3890,TH??NG HÀN,44577-Lê Thái Quyên,FALSE,FALSE,0,VAT ??u ra không ch?u thu?,0,0,Thu? GTGT HHDV mua vào không ?? ?i?u ki?n kh?u tr?,0,,Ch?a xác ??nh,Ch?a xác ??nh,1,H?p,1,NaN,None,NaN,7,L?,1,L?,7,3/12/2024,5/27/2025,3/9/2026,34,704,1,N,N,Ng?ng ??t hàng,N,None,None,None
